Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.25
2                       0.50
4                       1.05
8                       2.15
16                      4.36
32                      8.32
64                     15.64
128                    29.88
256                    60.67
512                   107.13
1024                  186.94
2048                  298.53
4096                  514.09
8192                  709.62
16384                 887.38
32768                 928.15
65536                1027.67
131072               1489.61
262144               1737.28
524288               1804.67
1048576              1840.01
2097152              1851.45
4194304              1857.94
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.31
2                       0.65
4                       1.27
8                       2.49
16                      4.61
32                      8.73
64                     16.80
128                    31.21
256                    58.31
512                   108.23
1024                  187.06
2048                  301.81
4096                  525.25
8192                  705.72
16384                1042.01
32768                1101.97
65536                1247.29
131072               1557.98
262144               1611.75
524288               1655.95
1048576              1658.90
2097152              1668.86
4194304              1641.49
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.27
2                       0.57
4                       1.26
8                       2.46
16                      4.66
32                      8.62
64                     16.28
128                    32.66
256                    61.34
512                   108.32
1024                  183.55
2048                  277.45
4096                  472.34
8192                  694.47
16384                 870.77
32768                 922.79
65536                1057.09
131072               1506.84
262144               1741.11
524288               1800.03
1048576              1840.37
2097152              1857.50
4194304              1858.51
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.33
2                       0.65
4                       1.29
8                       2.58
16                      5.20
32                     10.24
64                     20.05
128                    39.54
256                    71.99
512                   133.72
1024                  240.30
2048                  429.24
4096                  792.61
8192                 1092.35
16384                1171.68
32768                1225.91
65536                1280.40
131072               1425.97
262144               1500.61
524288               1504.07
1048576              1572.97
2097152              1563.49
4194304              1509.62
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.30
2                       0.62
4                       1.23
8                       2.48
16                      4.60
32                      8.75
64                     17.11
128                    33.03
256                    62.56
512                   110.65
1024                  174.43
2048                  280.61
4096                  465.04
8192                  720.90
16384                 868.65
32768                 799.97
65536                 982.92
131072               1495.49
262144               1720.79
524288               1796.37
1048576              1828.56
2097152              1851.42
4194304              1865.17
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.24
2                       0.51
4                       1.24
8                       2.49
16                      4.43
32                      8.53
64                     16.71
128                    31.33
256                    57.84
512                   109.00
1024                  198.61
2048                  306.83
4096                  489.65
8192                  705.45
16384                 869.25
32768                 933.25
65536                1011.95
131072               1429.72
262144               1639.99
524288               1806.39
1048576              1844.37
2097152              1853.78
4194304              1864.60
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.22
2                       0.50
4                       1.23
8                       2.43
16                      4.62
32                      8.65
64                     16.91
128                    32.43
256                    61.02
512                   108.32
1024                  207.86
2048                  317.86
4096                  482.20
8192                  702.78
16384                 879.68
32768                 811.46
65536                 995.86
131072               1461.99
262144               1753.20
524288               1815.00
1048576              1847.77
2097152              1872.47
4194304              1878.48
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.30
2                       0.63
4                       1.26
8                       2.44
16                      4.61
32                      8.60
64                     17.16
128                    32.98
256                    60.87
512                   109.76
1024                  183.70
2048                  273.43
4096                  438.71
8192                  695.15
16384                 866.33
32768                 900.42
65536                1000.48
131072               1496.64
262144               1726.86
524288               1796.98
1048576              1840.67
2097152              1856.98
4194304              1863.42
