Size,Measure,CNI,Nodes,Benchmark
1048576,618.12,baremetal,2,multi-latency
2097152,1158.61,baremetal,2,multi-latency
4194304,2023.39,baremetal,2,multi-latency
1,32.01,baremetal,2,multi-latency
2,30.68,baremetal,2,multi-latency
4,34.59,baremetal,2,multi-latency
8,36.12,baremetal,2,multi-latency
16,34.93,baremetal,2,multi-latency
32,31.5,baremetal,2,multi-latency
64,35.57,baremetal,2,multi-latency
128,34.13,baremetal,2,multi-latency
256,35.4,baremetal,2,multi-latency
512,32.69,baremetal,2,multi-latency
1024,33.56,baremetal,2,multi-latency
2048,43.04,baremetal,2,multi-latency
4096,43.29,baremetal,2,multi-latency
8192,44.41,baremetal,2,multi-latency
16384,49.66,baremetal,2,multi-latency
32768,75.41,baremetal,2,multi-latency
65536,110.09,baremetal,2,multi-latency
131072,145.64,baremetal,2,multi-latency
262144,178.85,baremetal,2,multi-latency
524288,294.55,baremetal,2,multi-latency
1048576,614.55,baremetal,2,multi-latency
2097152,1153.36,baremetal,2,multi-latency
4194304,2040.4,baremetal,2,multi-latency
1,33.14,baremetal,2,multi-latency
2,35.59,baremetal,2,multi-latency
4,35.62,baremetal,2,multi-latency
8,26.24,baremetal,2,multi-latency
16,28.51,baremetal,2,multi-latency
32,33.49,baremetal,2,multi-latency
64,32.99,baremetal,2,multi-latency
128,34.71,baremetal,2,multi-latency
256,35.58,baremetal,2,multi-latency
512,31.57,baremetal,2,multi-latency
1024,32.01,baremetal,2,multi-latency
2048,42.89,baremetal,2,multi-latency
4096,43.17,baremetal,2,multi-latency
8192,44.72,baremetal,2,multi-latency
16384,52.69,baremetal,2,multi-latency
32768,72.61,baremetal,2,multi-latency
65536,106.22,baremetal,2,multi-latency
131072,155.03,baremetal,2,multi-latency
262144,216.01,baremetal,2,multi-latency
524288,366.75,baremetal,2,multi-latency
1048576,674.94,baremetal,2,multi-latency
2097152,1214.39,baremetal,2,multi-latency
4194304,2085.03,baremetal,2,multi-latency
1,32.12,baremetal,2,multi-latency
2,32.15,baremetal,2,multi-latency
4,32.19,baremetal,2,multi-latency
8,32.12,baremetal,2,multi-latency
16,32.1,baremetal,2,multi-latency
32,32.18,baremetal,2,multi-latency
64,32.23,baremetal,2,multi-latency
128,32.59,baremetal,2,multi-latency
256,32.65,baremetal,2,multi-latency
512,32.6,baremetal,2,multi-latency
1024,32.78,baremetal,2,multi-latency
2048,42.35,baremetal,2,multi-latency
4096,42.4,baremetal,2,multi-latency
8192,45.24,baremetal,2,multi-latency
16384,51.84,baremetal,2,multi-latency
32768,72.59,baremetal,2,multi-latency
65536,110.2,baremetal,2,multi-latency
131072,148.75,baremetal,2,multi-latency
262144,210.1,baremetal,2,multi-latency
524288,342.08,baremetal,2,multi-latency
1048576,588.77,baremetal,2,multi-latency
2097152,1144.45,baremetal,2,multi-latency
4194304,2013.65,baremetal,2,multi-latency
1,33.14,baremetal,2,multi-latency
2,34.78,baremetal,2,multi-latency
4,35.19,baremetal,2,multi-latency
8,32.38,baremetal,2,multi-latency
16,35.24,baremetal,2,multi-latency
32,32.08,baremetal,2,multi-latency
64,32.31,baremetal,2,multi-latency
128,36.17,baremetal,2,multi-latency
256,36.04,baremetal,2,multi-latency
512,32.67,baremetal,2,multi-latency
1024,34.87,baremetal,2,multi-latency
2048,42.99,baremetal,2,multi-latency
4096,42.96,baremetal,2,multi-latency
8192,44.59,baremetal,2,multi-latency
16384,50.03,baremetal,2,multi-latency
32768,73.35,baremetal,2,multi-latency
65536,165.23,baremetal,2,multi-latency
131072,145.98,baremetal,2,multi-latency
262144,194.13,baremetal,2,multi-latency
524288,311.8,baremetal,2,multi-latency
1048576,619.57,baremetal,2,multi-latency
2097152,1076.59,baremetal,2,multi-latency
4194304,2107.05,baremetal,2,multi-latency
1,32.82,baremetal,2,multi-latency
2,33.0,baremetal,2,multi-latency
4,36.44,baremetal,2,multi-latency
8,31.74,baremetal,2,multi-latency
16,35.0,baremetal,2,multi-latency
32,36.26,baremetal,2,multi-latency
64,36.29,baremetal,2,multi-latency
128,34.18,baremetal,2,multi-latency
256,36.02,baremetal,2,multi-latency
512,35.34,baremetal,2,multi-latency
1024,34.15,baremetal,2,multi-latency
2048,42.92,baremetal,2,multi-latency
4096,43.3,baremetal,2,multi-latency
8192,44.64,baremetal,2,multi-latency
16384,50.03,baremetal,2,multi-latency
32768,72.32,baremetal,2,multi-latency
65536,98.01,baremetal,2,multi-latency
131072,145.43,baremetal,2,multi-latency
262144,198.9,baremetal,2,multi-latency
524288,286.65,baremetal,2,multi-latency
1048576,592.57,baremetal,2,multi-latency
2097152,1142.65,baremetal,2,multi-latency
4194304,2017.66,baremetal,2,multi-latency
1,33.12,baremetal,2,multi-latency
2,32.63,baremetal,2,multi-latency
4,33.72,baremetal,2,multi-latency
8,34.19,baremetal,2,multi-latency
16,33.55,baremetal,2,multi-latency
32,35.43,baremetal,2,multi-latency
64,34.26,baremetal,2,multi-latency
128,33.81,baremetal,2,multi-latency
256,34.73,baremetal,2,multi-latency
512,33.74,baremetal,2,multi-latency
1024,35.09,baremetal,2,multi-latency
2048,42.98,baremetal,2,multi-latency
4096,43.17,baremetal,2,multi-latency
8192,44.62,baremetal,2,multi-latency
16384,50.47,baremetal,2,multi-latency
32768,73.5,baremetal,2,multi-latency
65536,113.07,baremetal,2,multi-latency
131072,150.51,baremetal,2,multi-latency
262144,222.45,baremetal,2,multi-latency
524288,306.54,baremetal,2,multi-latency
1048576,639.06,baremetal,2,multi-latency
2097152,1033.71,baremetal,2,multi-latency
4194304,2049.38,baremetal,2,multi-latency
1,27.65,baremetal,2,multi-latency
2,27.61,baremetal,2,multi-latency
4,27.61,baremetal,2,multi-latency
8,27.72,baremetal,2,multi-latency
16,27.7,baremetal,2,multi-latency
32,28.03,baremetal,2,multi-latency
64,29.11,baremetal,2,multi-latency
128,32.53,baremetal,2,multi-latency
256,32.66,baremetal,2,multi-latency
512,32.55,baremetal,2,multi-latency
1024,32.75,baremetal,2,multi-latency
2048,42.42,baremetal,2,multi-latency
4096,43.43,baremetal,2,multi-latency
8192,45.64,baremetal,2,multi-latency
16384,52.38,baremetal,2,multi-latency
32768,72.56,baremetal,2,multi-latency
65536,124.24,baremetal,2,multi-latency
131072,149.39,baremetal,2,multi-latency
262144,175.17,baremetal,2,multi-latency
524288,285.67,baremetal,2,multi-latency
1048576,624.72,baremetal,2,multi-latency
2097152,1087.28,baremetal,2,multi-latency
4194304,2080.58,baremetal,2,multi-latency
1,32.22,baremetal,2,multi-latency
2,32.1,baremetal,2,multi-latency
4,32.11,baremetal,2,multi-latency
8,32.15,baremetal,2,multi-latency
16,32.15,baremetal,2,multi-latency
32,32.19,baremetal,2,multi-latency
64,32.29,baremetal,2,multi-latency
128,32.48,baremetal,2,multi-latency
256,32.34,baremetal,2,multi-latency
512,32.28,baremetal,2,multi-latency
1024,32.44,baremetal,2,multi-latency
2048,42.53,baremetal,2,multi-latency
4096,42.35,baremetal,2,multi-latency
8192,45.32,baremetal,2,multi-latency
16384,51.34,baremetal,2,multi-latency
32768,72.07,baremetal,2,multi-latency
65536,108.19,baremetal,2,multi-latency
131072,147.74,baremetal,2,multi-latency
262144,173.89,baremetal,2,multi-latency
524288,283.08,baremetal,2,multi-latency
1048576,603.39,baremetal,2,multi-latency
2097152,1150.74,baremetal,2,multi-latency
4194304,1940.06,baremetal,2,multi-latency
1,21.08,baremetal,2,multi-latency
2,20.0,baremetal,2,multi-latency
4,17.64,baremetal,2,multi-latency
8,19.97,baremetal,2,multi-latency
16,19.2,baremetal,2,multi-latency
32,19.19,baremetal,2,multi-latency
64,21.34,baremetal,2,multi-latency
128,19.26,baremetal,2,multi-latency
256,21.41,baremetal,2,multi-latency
512,21.39,baremetal,2,multi-latency
1024,22.08,baremetal,2,multi-latency
2048,39.07,baremetal,2,multi-latency
4096,39.57,baremetal,2,multi-latency
8192,40.71,baremetal,2,multi-latency
16384,51.31,baremetal,2,multi-latency
32768,73.46,baremetal,2,multi-latency
65536,106.99,baremetal,2,multi-latency
131072,145.46,baremetal,2,multi-latency
262144,195.95,baremetal,2,multi-latency
524288,359.8,baremetal,2,multi-latency
1048576,634.65,baremetal,2,multi-latency
2097152,1131.32,baremetal,2,multi-latency
4194304,2078.59,baremetal,2,multi-latency
1,35.08,baremetal,2,multi-latency
2,27.18,baremetal,2,multi-latency
4,24.27,baremetal,2,multi-latency
8,35.82,baremetal,2,multi-latency
16,35.63,baremetal,2,multi-latency
32,36.19,baremetal,2,multi-latency
64,36.23,baremetal,2,multi-latency
128,36.27,baremetal,2,multi-latency
256,36.22,baremetal,2,multi-latency
512,35.62,baremetal,2,multi-latency
1024,34.9,baremetal,2,multi-latency
2048,42.91,baremetal,2,multi-latency
4096,43.43,baremetal,2,multi-latency
8192,44.72,baremetal,2,multi-latency
16384,49.59,baremetal,2,multi-latency
32768,73.66,baremetal,2,multi-latency
65536,152.46,baremetal,2,multi-latency
131072,145.23,baremetal,2,multi-latency
262144,178.28,baremetal,2,multi-latency
524288,344.19,baremetal,2,multi-latency
1048576,637.36,baremetal,2,multi-latency
2097152,1046.17,baremetal,2,multi-latency
4194304,1962.0,baremetal,2,multi-latency
1,8.74,baremetal,1,mbw_mr
2,17.25,baremetal,1,mbw_mr
4,34.82,baremetal,1,mbw_mr
8,69.71,baremetal,1,mbw_mr
16,136.13,baremetal,1,mbw_mr
32,270.18,baremetal,1,mbw_mr
64,417.85,baremetal,1,mbw_mr
128,569.7,baremetal,1,mbw_mr
256,978.47,baremetal,1,mbw_mr
512,1906.14,baremetal,1,mbw_mr
1024,3193.6,baremetal,1,mbw_mr
