Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.16
2                       0.31
4                       0.62
8                       1.24
16                      2.45
32                      4.88
64                      9.83
128                    19.71
256                    39.38
512                    75.48
1024                  129.91
2048                  192.92
4096                  410.33
8192                  829.42
16384                1005.32
32768                 919.55
65536                 932.26
131072               1174.26
262144               1385.14
524288               1572.30
1048576              1687.92
2097152              1698.13
4194304              1663.88
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.14
2                       0.32
4                       0.62
8                       1.23
16                      2.42
32                      4.85
64                      9.73
128                    17.28
256                    38.28
512                    75.22
1024                  149.21
2048                  241.50
4096                  453.34
8192                  648.90
16384                 761.71
32768                 842.15
65536                 851.22
131072               1127.01
262144               1363.89
524288               1576.82
1048576              1695.97
2097152              1717.51
4194304              1675.28
