Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          46681.75
2                       0.09          46760.99
4                       0.19          46824.60
8                       0.37          46784.18
16                      0.75          46840.96
32                      1.50          46864.83
64                      2.99          46663.65
128                     5.97          46665.40
256                    10.75          42005.89
512                    16.64          32495.24
1024                   33.21          32435.76
2048                   51.97          25376.37
4096                  102.96          25135.96
8192                  204.68          24985.91
16384                 406.97          24839.27
32768                 765.11          23349.28
65536                 619.78           9457.08
131072               1199.53           9151.69
262144               1640.10           6256.49
524288               1880.49           3586.75
1048576              2045.76           1950.99
2097152              2185.93           1042.33
4194304              2220.57            529.43
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          46881.86
2                       0.09          46888.71
4                       0.19          46913.28
8                       0.38          46936.37
16                      0.75          46907.06
32                      1.50          46903.24
64                      3.00          46827.87
128                     6.00          46864.10
256                     8.42          32893.72
512                    16.67          32556.67
1024                   33.30          32516.16
2048                   52.15          25463.89
4096                  103.25          25207.72
8192                  205.38          25070.81
16384                 405.74          24764.35
32768                 764.84          23340.99
65536                 619.11           9446.80
131072               1198.58           9144.48
262144               1621.36           6184.98
524288               1887.23           3599.61
1048576              2047.37           1952.52
2097152              2184.08           1041.45
4194304              2210.19            526.95
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          46560.91
2                       0.09          46541.27
4                       0.19          46466.57
8                       0.37          46581.04
16                      0.75          46624.59
32                      1.49          46517.98
64                      2.98          46585.86
128                     5.95          46495.88
256                    10.76          42049.61
512                    16.51          32241.76
1024                   32.98          32205.90
2048                   51.86          25322.58
4096                  102.53          25032.71
8192                  204.07          24911.40
16384                 404.38          24681.62
32768                1224.66          37373.65
65536                 616.95           9413.87
131072               1194.61           9114.12
262144               1626.77           6205.64
524288               1884.04           3593.52
1048576              2044.45           1949.74
2097152              2186.04           1042.38
4194304              2207.58            526.33
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          46446.39
2                       0.09          46369.11
4                       0.19          46350.31
8                       0.37          46456.78
16                      0.74          46457.01
32                      1.49          46430.91
64                      2.97          46353.66
128                     5.93          46358.12
256                    10.80          42204.48
512                    16.51          32250.13
1024                   33.02          32247.63
2048                   51.66          25225.82
4096                  102.11          24929.64
8192                  203.40          24829.61
16384                 403.57          24632.10
32768                 759.23          23169.83
65536                 613.62           9363.09
131072               1194.58           9113.95
262144               1640.97           6259.80
524288               1878.02           3582.03
1048576              2043.87           1949.18
2097152              2184.42           1041.61
4194304              2212.43            527.49
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
