Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
2097152              1756.47
4194304              1865.40
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.65
2                       1.29
4                       2.67
8                       5.44
16                     10.38
32                     19.33
64                     36.19
128                    71.31
256                   133.90
512                   227.72
1024                  436.40
2048                  664.40
4096                 1065.62
8192                 1224.95
16384                1315.83
32768                1296.41
65536                1076.32
131072               1107.62
262144               1403.49
524288               1702.60
1048576              1743.33
2097152              1743.20
4194304              1822.06
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.72
2                       1.45
4                       2.92
8                       5.88
16                     11.09
32                     22.36
64                     41.59
128                    77.11
256                   147.25
512                   282.74
1024                  486.90
2048                  896.42
4096                 1285.68
8192                 1815.01
16384                1720.50
32768                1692.71
65536                1362.40
131072               1397.13
262144               1429.62
524288               1646.07
1048576              1647.29
2097152              1647.12
4194304              1644.84
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.63
2                       1.26
4                       2.66
8                       5.27
16                     10.48
32                     19.53
64                     35.81
128                    68.57
256                   124.11
512                   224.24
1024                  386.44
2048                  608.90
4096                  868.91
8192                 1552.35
16384                1790.11
32768                2073.84
65536                1210.98
131072               1223.22
262144               1399.07
524288               1727.58
1048576              1749.34
2097152              1753.81
4194304              1755.07
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.55
2                       1.16
4                       2.68
8                       5.41
16                     10.51
32                     19.53
64                     36.87
128                    70.15
256                   133.70
512                   237.97
1024                  441.06
2048                  743.94
4096                 1238.84
8192                 1573.97
16384                1629.50
32768                1534.85
65536                1185.22
131072               1229.59
262144               1432.56
524288               1643.92
1048576              1658.79
2097152              1660.15
4194304              1658.58
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.68
2                       1.34
4                       2.67
8                       5.35
16                     10.36
32                     18.99
64                     37.31
128                    73.58
256                   138.93
512                   255.31
1024                  472.15
2048                  864.40
4096                 1332.78
8192                 1849.22
16384                1860.90
32768                1973.86
65536                1337.83
131072               1323.92
262144               1451.38
524288               1646.31
1048576              1658.54
2097152              1654.23
4194304              1657.43
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.67
2                       1.36
4                       2.66
8                       5.39
16                     10.51
32                     19.71
64                     36.80
128                    66.62
256                   123.99
512                   233.76
1024                  442.91
2048                  771.13
4096                 1259.28
8192                 1717.34
16384                2054.35
32768                2222.43
65536                1458.64
131072               1496.51
262144               1570.81
524288               1650.48
1048576              1648.37
2097152              1649.22
4194304              1649.69
