Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
# Size       Avg Latency(us)
1                      23.01
2                      23.00
4                      23.05
8                      23.04
16                     23.01
32                     23.06
64                     23.07
128                    23.10
256                    23.13
512                    23.13
1024                   23.21
2048                   22.37
4096                   23.25
8192                   24.08
16384                  25.96
32768                  58.60
65536                 116.94
131072                133.79
262144                179.09
524288                267.94
1048576               450.93
2097152               800.87
4194304              1742.77
