Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.09          91490.74
2                       0.18          90799.07
4                       0.34          85936.89
8                       0.69          85954.40
16                      1.37          85563.78
32                      2.74          85547.22
64                      5.46          85282.66
128                    10.87          84922.89
256                    21.24          82964.39
512                    43.04          84061.15
1024                   88.96          86872.65
2048                  155.19          75776.85
4096                  278.25          67933.24
8192                  494.31          60340.33
16384                 849.54          51851.97
32768                1160.62          35419.28
65536                 970.79          14813.06
131072               1235.23           9424.05
262144               1326.13           5058.80
524288               1424.16           2716.36
1048576              1484.41           1415.64
2097152              1504.08            717.20
4194304              1553.27            370.33
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58990.81
2                       0.15          74787.26
4                       0.31          77959.12
8                       0.63          78184.32
16                      1.25          78147.01
32                      2.50          78057.09
64                      5.00          78145.19
128                    10.01          78206.37
